DIV,LOB,GL_CC,Account Nbr,level_1,level_2,level_3,level_4,CTDESC,2024 - 07,2024 - 08,2024 - 09,2024 - 10,2024 - 11,2024 - 12,2025 - 01,2025 - 02,2025 - 03,2025 - 04,2025 - 05,2025 - 06,2025 - 07,2025 - 08,2025 - 09,10
107,17,67,4622-00,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Company Vehicle-Gas,,,,,,,,,,,,241,,,,
107,17,67,4625-00,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Management Meetings,,,,,,,,91,203,,,,,,147,
107,17,67,4628-00,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Travel,,,,,0,0,70,-18,53,-105,643,59,386,"1,117",869,"-2,300"
107,17,67,4628-01,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Travel - Meals (Nonded),,,28,,,,89,,,,,,,,,
107,17,67,4634-00,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Service Awards - Non Driver,,,,,,74,62,23,-2,,186,14,,,,
107,17,67,4665-00,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Employee Rewards & Recognition,,,,,,,,,118,,50,,,,16,
107,17,67,4665-01,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Driver Rewards & Recognition,,,,"2,332",130,"1,653",18,,818,95,,42,,,726,
107,17,67,4670-00,Total Fixed Operating Expense,Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Operating Supplies (Overhead),Other Employees Expenses,,,,,,,,,,,16,,,,,
107,17,67,4730-00,Total Variable Operating Expense,Other Ops Variable Expense,Fuel & Highway Taxes,Fuel & Highway Taxes,Fed Highway Use Tax,,,,,,,,,"2,560",,"2,648","2,722","2,706","2,729","2,627",
107,17,67,4770-00,Total Fixed Operating Expense,Total Operational Equipment Expense,Tractor Fixed Expense,Tractor Fixed Expense,Veh Lic & Reg Fees - State,376,483,234,,260,252,331,208,"9,856",145,"10,237","10,753","10,209","10,305","10,332",
107,17,67,4780-00,Total Variable Operating Expense,Other Ops Variable Expense,Fuel & Highway Taxes,Fuel & Highway Taxes,Fuel & Mileage Tax,"24,408","22,578","40,178","43,888","34,138","31,929","51,740","38,681","45,879","30,456","28,400","42,670","34,906","50,678","30,445",
107,17,67,4820-00,Total Variable Operating Expense,Insurance and Claims,Insurance Premiums,Insurance Premiums,CargoLoss & Damage Ins Premium,,,,,,,,,222,,211,217,703,696,-216,
